item_name,item_description,instore_price,barcodes
Aero Standard Strip Plasters (Pack of 10),"Premium adhesive plasters designed for effective wound protection and management. Features a SupaSorb absorbent wound pad that drains blood and exudates, minimising dressing changes while keeping wounds clean and comfortable. The SupaBond adhesive provides secure, long-lasting adhesion that prevents lift-up or edge curling, even in wet or challenging conditions. Latex-free and hypo-allergenic formulation suitable for sensitive skin. The flexible backing bends, stretches and conforms to body contours, ensuring freedom of movement. Non-adherent wound pad reduces pain and trauma during dressing changes. Waterproof bacterial barrier resists water, oil and grease ingress.

Always read Patient Information Leaflet before use.",5.1,9341394000261
After Bite Classic Handy Pen (14ml),"After Bite Classic Handy Pen provides fast, effective relief from itching and irritation caused by insect bites, stings, and nettle rash. The easy-to-use applicator pen delivers a soothing formula that calms discomfort and helps restore skin balance quickly. Compact and convenient, it’s perfect for travel or outdoor use, offering on-the-spot comfort whenever bites occur.

Age Restrictions – Suitable for adults and children over 3 years.

Always read the label before use.",5.9,5037589000201
Alka-Seltzer Original (20 Effervescent Tablets),"Alka-Seltzer Original Effervescent Tablets provide fast relief from general pain such as migraine, muscular pain, and tooth ache. Suitable for adults and children aged 12 years and over. Do not exceed the recommended dose. Always read the Patient Information Leaflet before use.",6,5010605402838
Alka-Seltzer XS (20 Tablets),"Alka-Seltzer XS (20 Tablets) helps relieve discomfort from excess acid, indigestion, heartburn and bloating. The fizzy tablets dissolve quickly in water to deliver a combination of antacid and pain-relief ingredients, soothing stomach upset and relieving associated discomfort. Ideal for occasional digestive trouble, these effervescent tablets offer fast, gentle relief so you can get back to feeling like yourself.

Age Restrictions – Suitable for adults and children aged 12 years and over.

Always read the Patient Information Leaflet before use.",6,5010605402845
Allevia 120mg Hayfever Tablets (Pack of 15),"Allevia 120mg Tablets contain fexofenadine hydrochloride, a non-drowsy antihistamine that provides 24-hour relief from hayfever symptoms. It relieves sneezing, itchy, runny or blocked nose, and itchy, watery or red eyes. Acts within 1 hour with one-a-day dosage. Take one tablet daily with water before a meal.

Age Restrictions - Suitable for adults and children aged 12 years and over.

Always read Patient Information Leaflet before use.",8.1,5000283662204
Allevia 120mg Hayfever Tablets (Pack of 30),"Allevia 120mg Tablets contain fexofenadine hydrochloride, a non-drowsy antihistamine that provides 24-hour relief from hayfever symptoms. It relieves sneezing, itchy, runny or blocked nose, and itchy, watery or red eyes. Acts within 1 hour with one-a-day dosage. Take one tablet daily with water before a meal.

Age Restrictions - Suitable for adults and children aged 12 years and over.

Always read Patient Information Leaflet before use.",11.8,5000283662211
Allevia 120mg Hayfever Tablets (Pack of 7),"Allevia 120mg Tablets contain fexofenadine hydrochloride, a non-drowsy antihistamine that provides 24-hour relief from hayfever symptoms. It relieves sneezing, itchy, runny or blocked nose, and itchy, watery or red eyes. Acts within 1 hour with one-a-day dosage. Take one tablet daily with water before a meal.

Age Restrictions - Suitable for adults and children aged 12 years and over.

Always read Patient Information Leaflet before use.",4.6,5000283662716
Alvita All-In-One Contact Lens Solution (120 ml),"Alvita All-In-One Contact Lens Solution cleans, disinfects, rinses, and stores soft contact lenses for all-day comfort and clarity. Its gentle formula removes protein and debris, helping keep lenses fresh and irritation-free. Suitable for daily use with all soft contact lenses. For adult use only. Always follow the instructions provided and read the Patient Information Leaflet before use.",4.6,8431306084029
Alvita Eye Wash (100ml),"Alvita Eye Wash gently cleanses and refreshes tired, irritated, or polluted eyes. Formulated with a soothing isotonic solution, it helps remove dust, dirt, and other irritants while restoring comfort and clarity. Supplied with an easy-to-use eye bath for convenience. Suitable for adults and children aged 12 years and over. Always read the Patient Information Leaflet before use.",4.6,8431306084012
Always Classic Night Size 3 (8 Pads),"Always Classic Night sanitary pads offer reliable overnight protection for heavy flow. Designed with anti-leak channels and extra length for full coverage while sleeping. The soft, cushioned top layer provides comfort and dryness throughout the night. Secure adhesive keeps pads in place. Suitable for adults and teens. Always read the Patient Information Leaflet before use.",2.3,4015400260837
Always Discreet Complete Protection Normal (12 Pads),"Always Discreet Complete Protection Normal pads provide secure, discreet protection against bladder leaks and incontinence. Featuring RapidDry™ and OdourLock™ technology, they absorb moisture quickly and neutralise odours for lasting freshness. Soft, flexible design ensures comfort and confidence throughout the day. Suitable for adult women. Always read the Patient Information Leaflet before use.",3.2,8001090065964
Anadin Extra Tablets (Pack of 16),"Anadin Extra provides effective relief from mild to moderate pain including headaches, migraines, toothache, sore throat, period pains, neuralgia, and muscular aches. Each tablet contains aspirin 300mg, paracetamol 200mg, and caffeine 45mg. The aspirin and paracetamol work together to relieve pain and reduce fever, while caffeine enhances the pain-relieving effect. Also suitable for symptomatic relief of sprains, strains, rheumatic pain, joint swelling and stiffness, influenza, and feverish colds.

Age Restrictions - Not suitable for children under 16 years.

Always read Patient Information Leaflet before use.",3.2,5000309007668
Anadin Extra Tablets (Pack of 32),"Anadin Extra provides effective relief from mild to moderate pain including headaches, migraines, toothache, sore throat, period pains, neuralgia, and muscular aches. Each tablet contains aspirin 300mg, paracetamol 200mg, and caffeine 45mg. The aspirin and paracetamol work together to relieve pain and reduce fever, while caffeine enhances the pain-relieving effect. Also suitable for symptomatic relief of sprains, strains, rheumatic pain, joint swelling and stiffness, influenza, and feverish colds.

Age Restrictions - Not suitable for children under 16 years.

Always read Patient Information Leaflet before use.",5.5,5000309007675
Anadin Joint Pain Tablets (Pack of 16),"Anadin Joint Pain Tablets contain ibuprofen 200mg and provide up to 8 hours of relief from joint pain, inflammation, backache, muscular pain, and neuralgia. The tablets work by blocking pain-causing chemicals where inflammation is present, targeting the source of pain to effectively reduce swelling and discomfort.

Age Restrictions - Not suitable for children under 12 years.

Always read Patient Information Leaflet before use.",4.3,5000309007712
Anadin Original (16 Tablets),"Anadin Original (16 Tablets) provides fast, effective relief from headaches, migraines, fever, and a range of common aches and pains. Each tablet contains aspirin and caffeine, working together to ease discomfort while enhancing the pain-relieving effect for quicker relief. Ideal for tackling everyday pain, these easy-to-take tablets help you feel more comfortable so you can get on with your day.

Age Restrictions – Suitable for adults and young people aged 16 years and over.",2.3,5000309007750
Anbesol Teething Gel (10g),"Anbesol Teething Gel provides fast-acting relief from pain and discomfort caused by teething, mouth ulcers, and sore gums in babies and young children. Its effective formula contains lidocaine hydrochloride, a local anaesthetic that quickly numbs the affected area, along with antiseptic ingredients to help fight infection and promote healing. Easy to apply directly to sore gums for targeted relief, it helps soothe pain and ease irritability during teething.

Age Restrictions – Suitable for babies aged 5 months and over.

Always read the Patient Information Leaflet before use.",6,96032909
Anthisan Bite and Sting 2% Cream (20g),"Anthisan Bite and Sting 2% Cream provides quick relief from pain, itching, and inflammation caused by insect bites, stings, and nettle rash. The antihistamine formula helps reduce swelling and soothe irritation when applied promptly after the bite or sting. Its smooth, easy-to-apply texture absorbs quickly for fast, cooling comfort.

Age Restrictions – Suitable for adults and children over 2 years.

Always read the Patient Information Leaflet before use.",5.9,5391513951718
Anusol Natural Cream (30g),"Anusol Natural Cream 30g gently soothes and comforts irritated skin associated with haemorrhoids. Formulated with naturally derived ingredients, it helps calm itching, reduce discomfort, and support the skin’s natural healing process. The smooth, easy-to-apply cream creates a protective layer over the affected area, providing targeted relief from soreness and irritation. Ideal for everyday use, Anusol Natural Cream offers gentle, effective care to help you feel more comfortable.

Age Restrictions – Suitable for adults and children aged 12 years and over.

Always read the Patient Information Leaflet before use.",6.8,5010724539316
Anusol Ointment (25g),"Anusol Ointment provides relief from the symptoms of internal and external haemorrhoids (piles). This topical treatment contains zinc oxide, bismuth oxide, and balsam Peru, which work together to deliver antiseptic, astringent and emollient properties. It helps relieve itching, soreness, discomfort and irritation around the anal area, whilst soothing sore, dry and cracked skin. The ointment can also be used for anal fissures, pruritus ani, and proctitis. Its slightly greasy consistency makes it particularly effective for relieving dry skin.

Age Restrictions - Not recommended for children under 18 years of age.

Always read Patient Information Leaflet before use.",6.3,5010724531013
Anusol Soothing Wipes (Pack of 30),"Anusol Soothing & Cleansing Wipes provide gentle care when suffering from haemorrhoids or piles. Clinically tested with natural ingredients including witch hazel, aloe vera, chamomile and calendula for soothing, cooling and hydrating benefits. The hypoallergenic formula is fragrance and alcohol free, dermatologically and gynecologically tested, and suitable during pregnancy and breastfeeding. These flushable and biodegradable wipes can be used after bowel movements or for cleansing before applying other Anusol products.

Always read Patient Information Leaflet before use.",5.8,5010724533888
Anusol Suppository (Pack of 12),"Anusol Suppositories deliver fast, effective relief from internal haemorrhoids (piles) and anal itching. The suppositories work directly at the source to shrink piles, soothe itching, promote healing and prevent bacterial infection. They provide antiseptic, astringent and emollient properties for relief from discomfort associated with minor ano-rectal conditions.

Age Restrictions: Not suitable for under 18 years.

Always read Patient Information Leaflet before use.",4.9,5010724531044
Aqueous Calamine Cream (100g),"Aqueous Calamine Cream (100g) soothes, protects, and helps relieve irritated or itchy skin. Its calming formula forms a gentle protective layer, supporting natural healing while reducing discomfort from rashes, insect bites, sunburn, and minor skin irritations. Ideal for sensitive or inflamed areas, this easy-to-apply cream provides lasting comfort and care for the whole family.

Age Restrictions – Suitable for all ages, including infants.

Always read the product information and usage guidelines before use.",3.4,5011309027419
Bazuka Gel Extra Strength (5g),"Bazuka Gel Extra Strength is a clinically proven treatment for warts, verrucas, corns, and calluses. Its high-strength formulation softens hard skin and helps remove infected tissue for smoother, healthier skin. The clear, protective film dries quickly and is water-resistant. Suitable for adults, the elderly, and children aged 2 years and over (with adult supervision). Avoid contact with eyes or broken skin. Always read the Patient Information Leaflet before use.",8.7,5016379111006
Beconase Nasal Spray (100 Dose),"Beconase Nasal Spray provides non-drowsy relief from hay fever and airborne allergies caused by pollen, dust, and pet dander. The active ingredient, beclometasone dipropionate (a corticosteroid), reduces inflammation in the nasal passages to treat eight key symptoms: sneezing, itchy nose, runny nose, nasal congestion, sinus discomfort, watery eyes, itchy eyes, and red eyes. This prescription-strength formula delivers all-day relief, with maximum benefits typically noticed after 2-3 days of use. Suitable for treating both seasonal allergies and year-round allergic rhinitis.

Age Restrictions - For adults aged 18 years and over.

Always read Patient Information Leaflet before use.",7.9,5012616291715
Benadryl Allergy Relief (24 Capsules),"Benadryl Allergy Relief 24 Capsules provides fast and effective relief from symptoms of hayfever, hives, and other allergic reactions, including sneezing, itching, and watery eyes. The antihistamine formula helps reduce allergic responses quickly. Suitable for adults and children aged 12 years and over. Do not exceed the recommended dose. Always read the Patient Information Leaflet before use.",10.1,3574661366272
Benylin Chesty Cough Original (150ml),"Benylin Chesty Cough Original provides effective relief from deep, chesty coughs by loosening and thinning mucus, making it easier to cough up. Its non-drowsy formula contains guaifenesin, an expectorant that helps clear congestion, and levomenthol, which soothes the airways and eases breathing. Ideal for relieving coughs associated with colds and chest infections, it helps you breathe more easily and feel more comfortable throughout the day.
Age Restrictions – Suitable for adults and children over 12 years.
Always read the Patient Information Leaflet before use.",6.05,5010123731465
Benylin Cold & Flu Tablets (Pack of 16),"Provides relief from cold and flu symptoms including headaches, aches and pains, sore throats, fever, and blocked nose. Contains paracetamol to reduce fever and pain, phenylephrine to clear nasal congestion, and caffeine to help combat tiredness and drowsiness.

Age Restrictions: Not suitable for children under 16 years.

Always read the Patient Information Leaflet before use.",6.8,5010123729981
Benylin Dry Cough 7.5mg/5ml Syrup (150ml),"Benylin Dry Cough 7.5mg/5ml Syrup provides soothing relief from persistent, irritating dry coughs that keep you awake or disrupt your day. The syrup contains dextromethorphan hydrobromide, a cough suppressant that helps reduce the urge to cough, allowing the throat to rest and recover. Its soothing formula coats the throat for lasting comfort and is ideal for relieving coughs caused by cold or flu.

Age Restrictions – Suitable for adults and children over 12 years.

Always read the Patient Information Leaflet before use.",6.5,3574661191935
Bepanthen Nappy Care Ointment (30g),"Bepanthen Nappy Care Ointment gently protects and cares for baby’s delicate skin from the causes of nappy rash. Its breathable, transparent layer helps keep skin soft and moisturised while shielding against irritants and friction. Enriched with Provitamin B5, it supports natural skin recovery without drying or clogging pores. Free from fragrances, preservatives, and colours, it’s ideal for daily use at every nappy change.

Age Restrictions – Suitable for all ages, including newborns.

Always read the label before use.",3.8,5010605142642
BetterYou Magnesium Oil Body Spray (100ml),"BetterYou Magnesium Oil Body Spray provides fast, effective absorption of magnesium through the skin to help support muscle recovery, relaxation, and overall wellbeing. This pure, highly concentrated magnesium chloride solution is quickly absorbed when massaged into the skin, helping to ease muscle tension and reduce fatigue. Ideal for use after exercise or as part of your daily self-care routine, it promotes natural energy release and restful sleep. Suitable for vegans and free from synthetic additives.

Age Restrictions – Suitable for adults and children over 12 years.

Always read the packaging and instructions before use.",13,5060148520100
BetterYou Vitamin D3+K2 Daily Oral Spray 12ml (30 Doses),"BetterYou Vitamin D3+K2 Daily Oral Spray delivers optimal nutritional support for bone, teeth, and heart health in a convenient, great-tasting spray. Combining vitamin D3, which aids calcium absorption, with vitamin K2, which helps direct calcium to the bones, this formula supports strong bones and healthy circulation. The oral spray format ensures fast, effective absorption directly into the bloodstream — no water or tablets required. Ideal for daily use, especially during months with limited sunlight.

Age Restrictions – Suitable for adults and children over 12 years.

Always read the packaging and instructions before use.",8.1,96175101
Bio-Kult Everyday Capsules (30),"Bio-Kult Everyday Capsules are advanced multi-strain probiotic supplements designed to support digestive and immune health. Each capsule contains 14 scientifically developed live bacterial strains that help maintain a healthy balance of gut flora, promoting optimal digestion and overall wellbeing. Suitable for daily use, they can be taken alongside antibiotics, while travelling, or as part of a balanced lifestyle. The capsules require no refrigeration and are gluten-free, vegetarian-friendly, and easy to swallow.

Age Restrictions – Suitable for adults and children over 12 years.

Always read the packaging and instructions before use.",9.5,5027314502537
Bio-Kult Infants Probiotic Sachets (16 Sachets),"Bio-Kult Infants Probiotic Sachets (16) support, protect, and help maintain a healthy digestive balance in babies. Its carefully selected blend of friendly bacteria contributes to the natural development of the gut microbiota, supporting digestive comfort and overall wellbeing. Ideal for daily use to promote healthy digestion and immune support in infants, these easy-to-use sachets provide gentle, effective care for little tummies.
Age Restrictions – Suitable for infants from birth.
Always read the product information and usage guidelines before use.",13.9,5027314505668
Bio-Kult Pro-Cyan Capsules (45),"Bio-Kult Pro-Cyan Capsules provide triple-action support for urinary tract health, combining live bacteria with cranberry extract and vitamin A. Each capsule contains scientifically developed probiotic strains that help maintain a healthy balance of bacteria in the gut and urinary tract, while cranberry extract helps prevent bacteria from adhering to the bladder wall. Vitamin A contributes to the normal function of the immune system, offering additional defence against infection. Ideal for daily use or during periods of urinary discomfort.

Age Restrictions – Suitable for adults and children over 12 years.

Always read the packaging and instructions before use.",11.6,5027314503138
BioGaia Baby Probiotic Drops (5ml),"BioGaia Baby Probiotic Drops (5ml) support, protect, and help maintain a healthy digestive system in infants. Its carefully selected strains of friendly bacteria contribute to the natural development of the gut microbiota, supporting digestive comfort and overall wellbeing. Ideal for daily use to promote healthy digestion and help reduce colic and discomfort, these easy-to-administer drops provide gentle, effective care for little tummies.
Age Restrictions – Suitable for infants from birth.
Always read the product information and usage guidelines before use.",14.3,7350012553449
Bioderma Atoderm Huile De Douche Shower Gel (1 litre),"Bioderma Atoderm Huile De Douche (1 litre) nourishes, protects, and helps comfort dry to very dry sensitive skin. Its rich, lipid-restoring cleansing oil forms a silky protective barrier, supporting the skin’s natural moisture balance while shielding against dryness and external irritants. Ideal for daily use on the face and body, this gentle, easy-to-rinse formula provides long-lasting softness and hydration for the whole family.

Age Restrictions – Suitable for all ages, including infants.

Always read the product information and usage guidelines before use.",20.8,3401399372926
Bioderma Sensibio H2O Micellar Water (250ml),"Bioderma Sensibio H2O Micellar Water gently cleanses, refreshes, and helps soothe sensitive skin. Its dermatologically tested micellar formula captures impurities and makeup while maintaining the skin’s natural balance, supporting comfort and clarity without irritation. Ideal for removing makeup, daily cleansing, and calming redness or sensitivity, this gentle, easy-to-use cleanser provides soft, clean, and refreshed skin for everyday care.

Age Restrictions – Suitable for all ages, including infants.

Always read the product information and usage guidelines before use.",15,3701129812068
Bioderma Sensibio Micellar Cleansing Oil (150ml),"Bioderma Sensibio Micellar Cleansing Oil (150ml) melts away impurities, protects, and helps soothe sensitive skin. Its gentle micellar oil formula dissolves makeup and sunscreen while forming a soft protective barrier that supports the skin’s natural balance and reduces discomfort. Ideal for daily cleansing, removing long-wear makeup, and calming reactive skin, this smooth, easy-to-rinse oil provides lasting comfort and care for delicate skin types.

Age Restrictions – Suitable for all ages, including infants.

Always read the product information and usage guidelines before use.",16.2,3701129807835
Bioderma Sensibio Micellar Water (100ml),"Bioderma Sensibio H2O Micellar Water (100ml) gently cleanses, soothes, and helps maintain the natural balance of sensitive skin. Its micellar formula effectively removes makeup, impurities, and excess oil while calming redness and irritation. Ideal for daily cleansing, makeup removal, and soothing delicate skin, this gentle, easy-to-use solution provides soft, refreshed, and comfortable skin anytime, anywhere.
Age Restrictions – Suitable for all ages, including infants.

Always read the product information and usage guidelines before use.",7.5,3701129812075
Blepha Eye Bag (Pack of 1),"Blepha EyeBag is a reusable warming eye mask that provides moist heat therapy for dry eye relief. It treats Meibomian Gland Dysfunction (MGD) and blepharitis by warming the eyelids to help release blocked lipids, improving natural eye lubrication. Provides long-lasting relief from dry eye sensation, eye discomfort, tired or sore eyes, redness, grittiness, foreign body sensation, and stinging. Also soothes swollen and inflamed eyelids and helps with chalazion and styes. Can be reheated up to 200 times. Developed by an ophthalmologist with clinically proven safety and effectiveness.

Always read Patient Information Leaflet before use.",20.7,3662042007279
Blephaclean Wipes (Pack of 20),"Sterile eyelid wipes for daily hygiene and managing blepharitis, meibomian gland dysfunction, and dry eyes. The gentle, preservative-free formula removes debris, bacteria, allergens, and makeup without rinsing. Contains natural ingredients including Capryloyl Glycine and Iris Florentina Root Extract to cleanse, hydrate, and soothe. Ideal for sensitive eyes, contact lens wearers, and post-surgical care.

Age Restrictions: Suitable for adults and children aged 3 months and above.

Always read Patient Information Leaflet before use.",11.1,3662042002953
Blephasol Eye Cleaning Lotion (100ml),"Blephasol is a gentle micellar lotion designed for daily cleansing of eyelids and lashes. It effectively removes dirt, makeup, tears, and dried secretions from the eyelids and lash base, making it ideal for maintaining eyelid hygiene and managing conditions like blepharitis. Free from soap, perfume, parabens, and alcohol, this non-irritating formula is suitable for all skin types, including sensitive eyes and contact lens wearers. The non-greasy solution doesn't require rinsing after use. For external use only.

Always read Patient Information Leaflet before use.",12.9,3662042003714
Bonjela Cool Mint Gel Adult (15g),"Bonjela Cool Mint Gel provides fast relief from pain and inflammation caused by mouth ulcers, cold sores, and irritation from dentures or braces. The sugar-free formula works in just 3 minutes, combining pain-relieving and anti-inflammatory properties with antiseptic action to help fight infection and promote healing. Its refreshing cool mint flavour leaves your mouth feeling fresh.

Age Restrictions - Not suitable for children under 16 years of age.

Always read Patient Information Leaflet before use.",8.3,5000158065727
Bonjela Junior Gel (15g),"Bonjela Junior Gel provides soothing relief from pain and discomfort caused by mouth ulcers, sore gums, and irritation from braces or dentures. Specially formulated for children aged 3 months and over, this sugar-free gel is gentle on young mouths while effectively calming pain and reducing inflammation. Its fast-acting formula helps ease discomfort to make eating and drinking easier. Ideal for use at home or on the go for quick, targeted relief.

Age Restrictions – Suitable for children aged 3 months and over.

Always read the packaging and instructions before use.",4.5,5000158069671
Bonjela Soothing Teething Gel (15g),"Bonjela Soothing Teething Gel provides fast, soothing relief for babies and toddlers experiencing pain and discomfort from teething. Specially formulated to gently calm sore gums, it helps reduce irritation and makes feeding and sleeping easier. The sugar-free gel has a pleasant flavour and is easy to apply directly to the affected area for targeted comfort. Ideal for use whenever teething pain strikes to help keep your little one happy and settled.

Age Restrictions – Suitable for babies aged 6 months and over.

Always read the packaging and instructions before use.",5,5011417569627
Broncho Junior Cough Syrup (120ml),"BronchoStop Junior Cough Syrup provides gentle, effective relief from both dry and chesty coughs in children. Made with natural thyme herb extract, it helps soothe the throat, calm irritation, and loosen mucus, making it easier for your child to breathe comfortably. This non-drowsy, raspberry-flavoured syrup is free from artificial colours and alcohol, making it suitable for daytime and nighttime use. Ideal for relieving coughs associated with colds and mild respiratory irritation.

Age Restrictions – Suitable for children aged 1 year and over.

Always read the Patient Information Leaflet before use.",8.3,5400951004310
BronchoStop Cough Pastilles (10),"BronchoStop Cough Pastilles provide convenient, on-the-go relief for dry and chesty coughs. Made with natural thyme herb extract, these soothing pastilles help calm irritation in the throat while loosening mucus to make coughing more productive. Ideal for relieving coughs associated with colds, they offer a herbal, non-drowsy solution that can be taken during the day or night. Perfect for keeping in your pocket or bag for fast, soothing relief whenever you need it.

Age Restrictions – Suitable for adults and children over 12 years.

Always read the Patient Information Leaflet before use.",5.8,5012616262227
BronchoStop Cough Syrup (120ml),"BronchoStop Cough Syrup provides effective, herbal relief for all types of cough — whether dry, chesty, or tickly. Its dual-action formula, made with thyme herb extract and marshmallow root extract, works to soothe the throat, ease irritation, and loosen mucus, helping you breathe more easily. Suitable for use during the day and night, it offers natural, non-drowsy relief from coughs associated with colds and chest congestion.

Age Restrictions – Suitable for adults and children over 12 years.

Always read the Patient Information Leaflet before use.",8.4,5012616262197
Buscopan Cramps Tablets (Pack of 20),"Buscopan Cramps Tablets provide fast relief from painful stomach and bowel cramps by relaxing cramping muscles in your digestive system. Works in just 15 minutes to ease discomfort. Effective for treating symptoms of Irritable Bowel Syndrome (IBS), including abdominal pain, bloating, and cramping.

Age Restrictions - Not suitable for children under 6 years.

Always read Patient Information Leaflet before use.",8.3,5000283659174
CL-ear Express Ear Spray (45ml),"CL-ear Express Ear Spray quickly softens and breaks down hardened ear wax to help clear blocked ears and restore hearing comfort. Its advanced dual-action formula works fast to disperse wax build-up, while the easy-to-use spray nozzle delivers precise application for effective results. Ideal for those who prefer a no-mess alternative to drops, it’s perfect for use at home to relieve ear congestion and maintain healthy ears. Suitable for adults and children over 12 years.

Age Restrictions – Not suitable for children under 12 years.

Always read the Patient Information Leaflet before use.",8.7,8437017221494
CL-ear Olive Oil Ear Drops (15ml),"CL-ear Olive Oil Ear Drops gently soften and loosen hardened ear wax to help relieve discomfort and improve hearing clarity. Using high-quality, natural olive oil, this soothing treatment works to naturally lubricate the ear canal and support the ear’s natural cleaning process. Ideal for regular ear care or before ear syringing, it offers a simple, gentle way to manage ear wax build-up at home. Suitable for adults and children over 12 years, it’s a trusted, natural solution for clearer, more comfortable ears.

Age Restrictions – Not suitable for children under 12 years.

Always read the Patient Information Leaflet before use.",4.5,5060133373902
Calamine Lotion (200ml),"Calamine Lotion provides soothing relief from itching, irritation, and discomfort caused by sunburn, insect bites, rashes, and other minor skin irritations. Its cooling formula, containing calamine and zinc oxide, helps calm the skin while protecting it as it heals. Easy to apply and quick-drying, it leaves the skin feeling refreshed and comforted.

Age Restrictions – Suitable for adults and children.

Always read the label before use.",3.5,5011309020212
Calcough 3+ Month Infant Syrup Apple (125ml),"Calcough 3+ Months Infant Syrup Apple provides gentle, soothing relief from dry, tickly coughs in babies and young children. Specially formulated for little ones aged 3 months and over, this non-drowsy syrup helps ease throat irritation and calm coughing, making it easier for your child to rest. The pleasant apple flavour makes it easy to take, while the sugar-free formula is kind to teeth. Ideal for use during colds or mild throat irritation.

Age Restrictions – Suitable for infants aged 3 months and over.

Always read the Patient Information Leaflet before use.",4.9,3574660518948
Calpol 6+ Fast Melts Strawberry (12),"Calpol 6+ Fast Melts provide fast, convenient relief from pain and fever for children aged 6 years and over. Each melt-in-the-mouth tablet contains paracetamol, which helps ease headaches, toothache, sore throats, cold and flu symptoms, and reduce high temperatures. The strawberry-flavoured tablets dissolve quickly on the tongue — no need for water — making them perfect for use at home or on the go. Gentle on little tummies and easy to take.

Age Restrictions – Suitable for children aged 6 years and over.

Always read the Patient Information Leaflet before use.",5.2,3574661648804
